"","exposure","category","cindex","r2_age","min_p.value","min_p.value2","above78"
"1","Age_start_smoking","Lifestyle and environment",0.666666117246261,0.00321360979546106,0.00000356005906321233,"HR P<0.00014",FALSE
"2","Age_stop_smoking","Lifestyle and environment",0.646498490892322,0.000741291724848955,0.317024188061578,"HR P>0.00014",FALSE
"3","BMI","Antropometric",0.663867089166711,0.00527756028633986,0.000000752865286446358,"HR P<0.00014",FALSE
"4","Change_in_appetite","Lifestyle and environment",0.655117795992187,0.000598401497090924,0.0123069591285255,"HR P>0.00014",FALSE
"5","Change_in_confidence","Lifestyle and environment",0.65654549739775,0.000978407235055556,0.105000009866406,"HR P>0.00014",FALSE
"6","Change_in_energy","Lifestyle and environment",0.671439579303588,0.00121343047296423,0.00267186732511659,"HR P>0.00014",TRUE
"7","Change_in_fitness","Lifestyle and environment",0.656041187718229,0.00151333292287026,0.0212278382631516,"HR P>0.00014",FALSE
"8","Change_in_hearing","Lifestyle and environment",0.66879103267189,0.00150921776428017,0.0422374542913673,"HR P>0.00014",FALSE
"9","Change_in_memory","Lifestyle and environment",0.659556631596756,0.00181312335312486,0.0968595341245622,"HR P>0.00014",FALSE
"10","Change_in_mood","Lifestyle and environment",0.660562373416515,0.00148457400957711,0.0787176756177597,"HR P>0.00014",FALSE
"11","Change_in_patience","Lifestyle and environment",0.660421818475429,0.002568413103605,0.0966564470672394,"HR P>0.00014",FALSE
"12","Change_in_sleep","Lifestyle and environment",0.657901730296389,0.00039029121214536,0.0134044885039964,"HR P>0.00014",FALSE
"13","Change_in_vision","Lifestyle and environment",0.639890286707446,0.164314370111136,0.840292597568146,"HR P>0.00014",FALSE
"14","Cigarettes_per_day_category","Lifestyle and environment",0.668644824924112,0.00582075067330899,0.000000000274703482183725,"HR P<0.00014",FALSE
"15","Country_of_Birth","Sociodemographic factors",0.658237509302749,0.0000342182747201419,0.984718883842235,"HR P>0.00014",FALSE
"16","DBP","Antropometric",0.662299776386798,0.013820845810336,0.17018009805098,"HR P>0.00014",FALSE
"17","Diabetes","Medications and medical history",0.663296642425405,0.00628105748225385,0.000718303878706417,"HR P>0.00014",FALSE
"18","Education","Sociodemographic factors",0.659292451731918,0.00239740381144129,0.860444122497103,"HR P>0.00014",FALSE
"19","Exerceise_change_last_year","Lifestyle and environment",0.670822559883712,0.00304768006862653,0.358044070302413,"HR P>0.00014",TRUE
"20","Exercise_satisfies_need_to_move","Lifestyle and environment",0.668155339224175,0.00185794037110914,0.461633755064919,"HR P>0.00014",FALSE
"21","Family_diabetes","Medications and medical history",0.661596253625648,0.00184863575027971,0.561822858663323,"HR P>0.00014",FALSE
"22","Family_heart_cerebral_infarction_60","Medications and medical history",0.663515837106124,0.000508686509394733,0.396471947515057,"HR P>0.00014",FALSE
"23","Feel_appreciated_inside_home","Lifestyle and environment",0.66318551178625,0.00336950453781868,0.486236298054829,"HR P>0.00014",FALSE
"24","Feel_appreciated_outside_home","Lifestyle and environment",0.65577211861932,0.000244473522345806,0.0316657803504069,"HR P>0.00014",FALSE
