"","exposure","category","effect","reference","HR","p","min_p.value2"
"1","Still_use_nicotine_replacement_after_quit_snuff_smoking","Lifestyle and environment","1_2",FALSE,1.27275932019279,0.106994427391474,"HR P>9e-05"
"2","Breath_holding_when_sleep","Medications and medical history","4",FALSE,1.92814332162086,0.0082853599906832,"HR P>9e-05"
"3","Breath_holding_when_sleep","Medications and medical history","2_1_3",FALSE,1.72005345727226,0.000962328891585477,"HR P>9e-05"
"4","My_health_exellent","Self-reported health","3",FALSE,1.73529728714568,0.0000153141299177169,"HR P<9e-05"
"5","My_health_exellent","Self-reported health","1",FALSE,0.867119353655301,0.283420763520749,"HR P>9e-05"
"6","My_health_exellent","Self-reported health","5_4",FALSE,2.17292534663022,0.000000000000576713785973249,"HR P<9e-05"
"7","Physical_activity_last_12mo","Lifestyle and environment","4",FALSE,0.587618230710536,0.0111672882040557,"HR P>9e-05"
"8","Physical_activity_last_12mo","Lifestyle and environment","3",FALSE,0.801972524901427,0.11954905092446,"HR P>9e-05"
"9","Physical_activity_last_12mo","Lifestyle and environment","1",FALSE,1.33436845634744,0.0613891831118673,"HR P>9e-05"
"10","Ability_strenuous_activities","Self-reported health","2",FALSE,0.527083641162594,0.000000000793381110292331,"HR P<9e-05"
"11","Ability_strenuous_activities","Self-reported health","3",FALSE,0.398475485501669,0.000000000000000574527629181366,"HR P<9e-05"
"12","Nicotine_replacement_therapy_to_stop_snuff","Lifestyle and environment","1_2",FALSE,1.35825786923799,0.0501274195059979,"HR P>9e-05"
"13","Healthy_as_others","Self-reported health","3",FALSE,1.47519877511903,0.00326195782863112,"HR P>9e-05"
"14","Healthy_as_others","Self-reported health","1",FALSE,0.701494034812556,0.00184792653303258,"HR P>9e-05"
"15","Healthy_as_others","Self-reported health","5_4",FALSE,1.65143161468606,0.0000264570127471616,"HR P<9e-05"
"16","Moderate_physical_activities_warm_per_week","Lifestyle and environment","4_5_6",FALSE,1.41821993588543,0.0129379405999805,"HR P>9e-05"
"17","Moderate_physical_activities_warm_per_week","Lifestyle and environment","1",FALSE,0.854062517587696,0.31889949304619,"HR P>9e-05"
"18","Moderate_physical_activities_warm_per_week","Lifestyle and environment","2",FALSE,0.921396617791205,0.583972924529383,"HR P>9e-05"
"19","Activites_physical_state_4w_limited","Self-reported health","1",FALSE,2.21418258680699,0.000000000000000100105889517449,"HR P<9e-05"
"20","Nicotine_replacement_therapy_to_stop_smoking","Lifestyle and environment","1_0",FALSE,0.717127168261165,0.0338995154225593,"HR P>9e-05"
"21","Sick_more_often_others","Self-reported health","3",FALSE,1.88331399620476,0.0000064658670534613,"HR P<9e-05"
"22","Sick_more_often_others","Self-reported health","4",FALSE,1.59748483402634,0.0000160356653829069,"HR P<9e-05"
"23","Sick_more_often_others","Self-reported health","1_2",FALSE,2.44456743157533,0.000000161385775688503,"HR P<9e-05"
"24","Feeling_alert_4w","Self-reported health","3",FALSE,1.35764295977466,0.0144851439796444,"HR P>9e-05"
"25","Feeling_alert_4w","Self-reported health","4",FALSE,1.52049262598775,0.000695590123720047,"HR P>9e-05"
"26","Feeling_alert_4w","Self-reported health","6_5",FALSE,2.12571360845511,0.0000000000229985494944458,"HR P<9e-05"
"27","Snore_when_sleep","Medications and medical history","2",FALSE,1.59630960001757,0.00192954222756794,"HR P>9e-05"
"28","Snore_when_sleep","Medications and medical history","5_4",FALSE,1.08852540629804,0.551307311441184,"HR P>9e-05"
"29","Snore_when_sleep","Medications and medical history","1",FALSE,1.39707635711772,0.108051407437355,"HR P>9e-05"
"30","Ability_moderate_activities_1","Self-reported health","2",FALSE,2.00747865937116,0.00000000000408576390498471,"HR P<9e-05"
"31","Ability_moderate_activities_1","Self-reported health","1",FALSE,3.06355346323745,0.00000000000376643266245478,"HR P<9e-05"
"32","Feeling_full_of_energy_4w","Self-reported health","6_5",FALSE,2.11006429385801,0.0000000000647111978621188,"HR P<9e-05"
"33","Feeling_full_of_energy_4w","Self-reported health","3",FALSE,1.24055373847758,0.0802729327545387,"HR P>9e-05"
"34","Feeling_full_of_energy_4w","Self-reported health","4",FALSE,1.54851718413658,0.000427494451131873,"HR P>9e-05"
"35","Activites_physical_state_4w_less_normal","Self-reported health","1",FALSE,2.20819173519923,0.00000000000000360050986680743,"HR P<9e-05"
"36","Ability_several_stairs","Self-reported health","1",FALSE,2.80454302739764,0.00000000000505382202728900,"HR P<9e-05"
"37","Ability_several_stairs","Self-reported health","2",FALSE,1.70262403672915,0.000000366502988741507,"HR P<9e-05"
"38","Activites_physical_state_4w_less_able","Self-reported health","1",FALSE,2.33817024728707,0.000000000000000000185576030402125,"HR P<9e-05"
"39","Ability_walking_2km","Self-reported health","2",FALSE,1.76671836359275,0.000001121526528386,"HR P<9e-05"
"40","Ability_walking_2km","Self-reported health","1",FALSE,3.38794330116797,0.00000000000000000000106207051701978,"HR P<9e-05"
"41","Ache_pain_4w","Self-reported health","2",FALSE,0.612868388380219,0.00022824698322897,"HR P>9e-05"
"42","Ache_pain_4w","Self-reported health","3",FALSE,0.740858249687435,0.0252552304437203,"HR P>9e-05"
"43","Ache_pain_4w","Self-reported health","1",FALSE,0.565787975367893,0.0000000826159676946183,"HR P<9e-05"
